"phase","is_practice","round","MSIT_trial_type","trial_duration","fixation_duration","stimulus","rt","key_press","correct_response","correct","is_missed","MSIT_trials_performed","time_elapsed","worker_ID","match_screen_side","n_matches","mismatch_screen_side","n_mismatches","demand_selection_trials_performed","message_duration","event","trial","time"
"MSIT","false","1","matching","1000","250","1 2 1","465.1150000281632","2","2","true","false","3","93072","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 1","425.2800000831485","2","2","true","false","4","93757","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","2 2 3","531.139999977313","3","3","true","false","5","94540","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 1","571.8999999808148","2","2","true","false","6","95368","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 2 2","468.0899999802932","1","1","true","false","7","96089","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","3 2 3","476.08999989461154","2","2","true","false","8","96821","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","97457","","right","9","left","6","11","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","98732","","left","12","right","7","12","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","99801","","left","8","right","1","13","500","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","574.8650000896305","2","2","true","false","1","101132","","","","","","","","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","101734","","left","6","right","3","14","500","","",""
"MSIT","false","1","mismatching","1000","250","3 3 2","null","null","2","null","true","1","103495","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","null","null","1","null","true","2","104751","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","null","null","3","null","true","3","106008","","","","","","","","","",""
"demand selection","false","1","","3000","","","","null","","","true","","109669","","left","9","right","3","15","500","","",""
"demand selection","false","1","","3000","","","","rightarrow","","","false","","114290","","right","10","left","10","16","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","115374","","right","13","left","1","17","500","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","514.3050000770018","3","3","true","false","1","116642","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","117459","","right","11","left","4","18","500","","",""
"MSIT","false","1","mismatching","1000","250","3 3 2","569.565000012517","2","2","true","false","1","118784","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","514.1950000543147","1","1","true","false","2","119555","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","491.28999991808087","1","1","true","false","3","120300","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","621.625000028871","1","1","true","false","4","121175","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","122078","","left","3","right","3","19","500","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","123544","","right","6","left","2","20","500","","",""
"demand selection","false","1","","3000","","","","null","","","true","","127148","","right","12","left","8","21","500","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","null","null","1","null","true","1","131370","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 2","null","null","1","null","true","2","134393","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","null","null","1","null","true","3","138106","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 2","null","null","3","null","true","4","142135","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","null","null","1","null","true","5","144633","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 2 2","588.6650000466034","3","3","true","false","6","145474","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 1","496.57999991904944","2","2","true","false","7","146223","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","598.0899999849498","1","1","true","false","8","147076","","","","","","","","","",""
"demand selection","false","1","","3000","","","","leftarrow","","","false","","148498","","right","16","left","7","22","500","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","519.0650000004098","1","1","true","false","1","149774","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","631.4749999437481","2","2","true","false","2","150659","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","519.7349999798462","1","1","true","false","3","151431","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 3","481.5350000280887","2","2","true","false","4","152164","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","537.3299999628216","1","1","true","false","5","152955","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","509.30500007234514","3","3","true","false","6","153718","","","","","","","","","",""
